"Cruise","Depth_interval","Station","Site","DayNight","abd_copepoda_m3","sampled_volume","mean_depth","epipelagic"
"2008","(0,5]","ccep0810_004","cycle1","night",138.69625520111,64.89,-2.5,-34
"2008","(5,10]","ccep0810_004","cycle1","night",74.6825989544436,66.95,-7.5,-34
"2008","(10,15]","ccep0810_004","cycle1","night",31.3185092389602,63.86,-12.5,-34
"2008","(15,20]","ccep0810_004","cycle1","night",0,57.68,-17.5,-34
"2008","(20,25]","ccep0810_004","cycle1","night",92.464170134073,64.89,-22.5,-34
"2008","(25,30]","ccep0810_004","cycle1","night",44.8095593726662,66.95,-27.5,-34
"2008","(30,35]","ccep0810_004","cycle1","night",109.91023997069,54.59,-32.5,-34
"2008","(35,40]","ccep0810_004","cycle1","night",89.8957209636821,55.62,-37.5,-34
"2008","(40,45]","ccep0810_004","cycle1","night",53.9374325782093,55.62,-42.5,-34
"2008","(45,50]","ccep0810_004","cycle1","night",89.8957209636826,55.62,-47.5,-34
"2008","(50,55]","ccep0810_004","cycle1","night",66.9568128557081,59.74,-52.5,-34
"2008","(55,60]","ccep0810_004","cycle1","night",0,54.59,-57.5,-34
"2008","(60,65]","ccep0810_004","cycle1","night",342.661336379212,52.53,-62.5,-34
"2008","(65,70]","ccep0810_004","cycle1","night",229.479258605472,56.65,-67.5,-34
"2008","(70,75]","ccep0810_004","cycle1","night",283.171521035599,49.44,-72.5,-34
"2008","(75,80]","ccep0810_004","cycle1","night",143.833153541891,55.62,-77.5,-34
"2008","(80,85]","ccep0810_004","cycle1","night",224.047796863331,53.56,-82.5,-34
"2008","(85,90]","ccep0810_004","cycle1","night",16.4554879052164,60.77,-87.5,-34
"2008","(90,95]","ccep0810_004","cycle1","night",24.5790832001967,81.37,-92.5,-34
"2008","(95,100]","ccep0810_004","cycle1","night",11.0326566637246,90.64,-97.5,-34
"2008","(100,105]","ccep0810_004","cycle1","night",132.856412876853,97.85,-102.5,-34
"2008","(105,110]","ccep0810_004","cycle1","night",0,97.85,-107.5,-34
"2008","(0,5]","ccep0810_005","cycle1","night",115.925228227793,69.01,-2.5,-43
"2008","(5,10]","ccep0810_005","cycle1","night",0,93.73,-7.5,-43
"2008","(10,15]","ccep0810_005","cycle1","night",0,126.69,-12.5,-43
"2008","(15,20]","ccep0810_005","cycle1","night",47.3596968979399,84.46,-17.5,-43
"2008","(20,25]","ccep0810_005","cycle1","night",61.3183444047011,97.85,-22.5,-43
"2008","(25,30]","ccep0810_005","cycle1","night",0,70.04,-27.5,-43
"2008","(30,35]","ccep0810_005","cycle1","night",28.5551113649343,70.04,-32.5,-43
"2008","(35,40]","ccep0810_005","cycle1","night",54.9551199853453,54.59,-37.5,-43
"2008","(40,45]","ccep0810_005","cycle1","night",15.4106950223455,64.89,-42.5,-43
"2008","(45,50]","ccep0810_005","cycle1","night",105.529759392149,47.38,-47.5,-43
"2008","(50,55]","ccep0810_005","cycle1","night",0,48.41,-52.5,-43
"2008","(55,60]","ccep0810_005","cycle1","night",16.739203213927,59.74,-57.5,-43
"2008","(60,65]","ccep0810_005","cycle1","night",17.6522506619594,56.65,-62.5,-43
"2008","(65,70]","ccep0810_005","cycle1","night",0,49.44,-67.5,-43
"2008","(70,75]","ccep0810_005","cycle1","night",19.4174757281554,51.5,-72.5,-43
"2008","(75,80]","ccep0810_005","cycle1","night",0,45.32,-77.5,-43
"2008","(80,85]","ccep0810_005","cycle1","night",17.0328734457503,58.71,-82.5,-43
"2008","(85,90]","ccep0810_005","cycle1","night",0,54.59,-87.5,-43
"2008","(90,95]","ccep0810_005","cycle1","night",0,61.8,-92.5,-43
"2008","(95,100]","ccep0810_005","cycle1","night",15.9159637116027,62.83,-97.5,-43
"2008","(100,105]","ccep0810_005","cycle1","night",0,31.93,-102.5,-43
"2008","(105,110]","ccep0810_005","cycle1","night",0,43.26,-107.5,-43
"2008","(110,115]","ccep0810_005","cycle1","night",0,51.5,-112.5,-43
"2008","(115,120]","ccep0810_005","cycle1","night",0,40.17,-117.5,-43
"2008","(120,125]","ccep0810_005","cycle1","night",18.6706497386109,53.56,-122.5,-43
"2008","(125,130]","ccep0810_005","cycle1","night",0,52.53,-127.5,-43
"2008","(130,135]","ccep0810_005","cycle1","night",0,44.29,-132.5,-43
"2008","(135,140]","ccep0810_005","cycle1","night",0,44.29,-137.5,-43
"2008","(140,145]","ccep0810_005","cycle1","night",0,49.44,-142.5,-43
"2008","(145,150]","ccep0810_005","cycle1","night",0,29.87,-147.5,-43
"2008","(150,155]","ccep0810_005","cycle1","night",0,38.11,-152.5,-43
"2008","(155,160]","ccep0810_005","cycle1","night",0,40.17,-157.5,-43
"2008","(160,165]","ccep0810_005","cycle1","night",0,40.17,-162.5,-43
"2008","(165,170]","ccep0810_005","cycle1","night",0,36.05,-167.5,-43
"2008","(170,175]","ccep0810_005","cycle1","night",0,53.56,-172.5,-43
"2008","(175,180]","ccep0810_005","cycle1","night",0,45.32,-177.5,-43
"2008","(180,185]","ccep0810_005","cycle1","night",0,43.26,-182.5,-43
"2008","(185,190]","ccep0810_005","cycle1","night",0,51.5,-187.5,-43
"2008","(190,195]","ccep0810_005","cycle1","night",0,38.11,-192.5,-43
"2008","(195,200]","ccep0810_005","cycle1","night",26.2398320650748,38.11,-197.5,-43
"2008","(200,205]","ccep0810_005","cycle1","night",0,99.91,-202.5,-43
"2008","(205,210]","ccep0810_005","cycle1","night",38.8349514563107,77.25,-207.5,-43
"2008","(0,5]","ccep0810_006","cycle1","night",65.599580162687,76.22,-2.5,-45
"2008","(5,10]","ccep0810_006","cycle1","night",102.197240674502,58.71,-7.5,-45
"2008","(10,15]","ccep0810_006","cycle1","night",16.1812297734628,61.8,-12.5,-45
"2008","(15,20]","ccep0810_006","cycle1","night",15.1699029126214,65.92,-17.5,-45
"2008","(20,25]","ccep0810_006","cycle1","night",149.365197908887,53.56,-22.5,-45
"2008","(30,35]","ccep0810_006","cycle1","night",20.6568890725057,48.41,-32.5,-45
"2008","(35,40]","ccep0810_006","cycle1","night",34.6740638002774,57.68,-37.5,-45
"2008","(40,45]","ccep0810_006","cycle1","night",19.4174757281553,51.5,-42.5,-45
"2008","(45,50]","ccep0810_006","cycle1","night",17.9791441927364,55.62,-47.5,-45
"2008","(50,55]","ccep0810_006","cycle1","night",18.3183733284484,54.59,-52.5,-45
"2008","(55,60]","ccep0810_006","cycle1","night",23.1160425335183,43.26,-57.5,-45
"2008","(60,65]","ccep0810_006","cycle1","night",0,60.77,-62.5,-45
"2008","(65,70]","ccep0810_006","cycle1","night",0,55.62,-67.5,-45
"2008","(70,75]","ccep0810_006","cycle1","night",35.9582883854729,55.62,-72.5,-45
"2008","(75,80]","ccep0810_006","cycle1","night",0,60.77,-77.5,-45
"2008","(80,85]","ccep0810_006","cycle1","night",0,63.86,-82.5,-45
"2008","(85,90]","ccep0810_006","cycle1","night",47.3596968979399,42.23,-87.5,-45
"2008","(90,95]","ccep0810_006","cycle1","night",0,62.83,-92.5,-45
"2008","(95,100]","ccep0810_006","cycle1","night",15.1699029126214,65.92,-97.5,-45
"2008","(100,105]","ccep0810_006","cycle1","night",34.0657468915006,58.71,-102.5,-45
"2008","(105,110]","ccep0810_006","cycle1","night",0,51.5,-107.5,-45
"2008","(110,115]","ccep0810_006","cycle1","night",0,54.59,-112.5,-45
"2008","(115,120]","ccep0810_006","cycle1","night",0,54.59,-117.5,-45
"2008","(120,125]","ccep0810_006","cycle1","night",0,61.8,-122.5,-45
"2008","(125,130]","ccep0810_006","cycle1","night",0,43.26,-127.5,-45
"2008","(130,135]","ccep0810_006","cycle1","night",0,60.77,-132.5,-45
"2008","(135,140]","ccep0810_006","cycle1","night",0,53.56,-137.5,-45
"2008","(140,145]","ccep0810_006","cycle1","night",0,21.63,-142.5,-45
"2008","(145,150]","ccep0810_006","cycle1","night",0,42.23,-147.5,-45
"2008","(150,155]","ccep0810_006","cycle1","night",0,22.66,-152.5,-45
"2008","(155,160]","ccep0810_006","cycle1","night",0,35.02,-157.5,-45
"2008","(160,165]","ccep0810_006","cycle1","night",0,20.6,-162.5,-45
"2008","(165,170]","ccep0810_006","cycle1","night",24.8941996514812,40.17,-167.5,-45
"2008","(170,175]","ccep0810_006","cycle1","night",0,20.6,-172.5,-45
"2008","(175,180]","ccep0810_006","cycle1","night",0,28.84,-177.5,-45
"2008","(180,185]","ccep0810_006","cycle1","night",0,29.87,-182.5,-45
"2008","(185,190]","ccep0810_006","cycle1","night",0,35.02,-187.5,-45
"2008","(190,195]","ccep0810_006","cycle1","night",0,21.63,-192.5,-45
"2008","(195,200]","ccep0810_006","cycle1","night",0,32.96,-197.5,-45
"2008","(200,205]","ccep0810_006","cycle1","night",0,31.93,-202.5,-45
"2008","(205,210]","ccep0810_006","cycle1","night",0,21.63,-207.5,-45
"2008","(210,215]","ccep0810_006","cycle1","night",0,36.05,-212.5,-45
"2008","(215,220]","ccep0810_006","cycle1","night",0,26.78,-217.5,-45
"2008","(220,225]","ccep0810_006","cycle1","night",0,31.93,-222.5,-45
"2008","(225,230]","ccep0810_006","cycle1","night",0,20.6,-227.5,-45
"2008","(230,235]","ccep0810_006","cycle1","night",0,37.08,-232.5,-45
